"period","DT","DP"
2006,0,0
2007,0.0493486537372788,0.0397352486344049
2008,0.102242108014114,0.0794704972688044
2009,0.155264519976774,0.11920574590321
2010,0.195782766681386,0.158940994537613
2011,0.235091253268357,0.198676243172015
2012,0.282192524445277,0.23841149180642
2013,0.317936759640315,0.278146740440821
2014,0.361963188879478,0.317881989075223
2015,0.395720471778044,0.357617237709626
2016,0.437023888951671,0.397352486344031
2017,0.474988291155667,0.437087734978434
2018,0.51378924437523,0.476822983612839
2019,0.553562105569041,0.51655823224724
2020,0.592697531669782,0.556293480881641
2021,0.636745741751591,0.596028729516044
2022,0.676413122219171,0.635763978150447
2023,0.717509008657101,0.675499226784849
2024,0.768137341930475,0.715234475419253
2025,0.811714394072639,0.754969724053654
2026,0.858399336807909,0.794704972688059
2027,0.899493211781819,0.834440221322459
2028,0.940979620175351,0.874175469956867
2029,0.977556841066369,0.913910718591267
2030,1.00992905446767,0.953645967225671
2031,1.04479940923799,0.993381215860072
2032,1.08829308332942,1.03311646449448
2033,1.13079294152339,1.07285171312888
2034,1.17314768180772,1.11258696176328
2035,1.2162054031689,1.15232221039769
2036,1.25901110094367,1.19205745903209
2037,1.29905171256554,1.23179270766649
2038,1.34068600728597,1.27152795630089
2039,1.38298201842735,1.31126320493529
2040,1.4239622716209,1.3509984535697
2041,1.46486403563755,1.3907337022041
2042,1.50472333606241,1.4304689508385
2043,1.54676310992586,1.47020419947291
2044,1.58593390122148,1.50993944810731
2045,1.63095256929834,1.54967469674171
2046,1.66936430407156,1.58940994537611
2047,1.71399477404002,1.62914519401052
2048,1.75397040900729,1.66888044264492
2049,1.79190284267914,1.70861569127932
2050,1.82989353170051,1.74835093991373
2051,1.87931482328187,1.78808618854813
2052,1.92429866719822,1.82782143718253
2053,1.9757313945369,1.86755668581694
2054,2.02020216376206,1.90729193445134
2055,2.06365026822365,1.94702718308574
2056,2.10819233425411,1.98676243172014
2057,2.15152484256914,2.02649768035455
2058,2.19394977994937,2.06623292898895
2059,2.23956915913537,2.10596817762335
2060,2.28424626758825,2.14570342625775
2061,2.32932007769087,2.18543867489216
2062,2.37316206573394,2.22517392352656
2063,2.41608728314498,2.26490917216096
2064,2.45750243121989,2.30464442079537
2065,2.49977778248698,2.34437966942977
2066,2.54239638223648,2.38411491806417
2067,2.59042317507468,2.42385016669858
2068,2.63397377537647,2.46358541533298
2069,2.67552004451059,2.50332066396738
2070,2.72168148418615,2.54305591260178
2071,2.76729727664214,2.58279116123618
2072,2.81009770233228,2.62252640987059
2073,2.85382163037427,2.66226165850499
2074,2.90192075080187,2.70199690713939
2075,2.94905661111651,2.7417321557738
2076,3.00221936179823,2.7814674044082
2077,3.05199562884996,2.8212026530426
2078,3.10506621305691,2.86093790167701
2079,3.16134357489953,2.90067315031141
2080,3.21522042389352,2.94040839894581
2081,3.26067501061835,2.98014364758022
2082,3.31047871167037,3.01987889621462
2083,3.35282522826901,3.05961414484902
2084,3.40291067602473,3.09934939348343
2085,3.45031762555417,3.13908464211783
